property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,signature global park 4,sector 36,0.82,7586,3,2,2,2,New Property,850,0,0,0,0,0,0,8,"28.4160° N, 76.9914° E",28.416,76.9914
flat,smart world gems,sector 89,0.95,8597,2,2,2,4,New Property,1226,1,1,0,0,0,0,38,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,bestech park view sanskruti,sector 92,1.6,8020,3,4,3+,10,Relatively New,1615,0,1,0,0,1,1,174,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,suncity avenue,sector 102,0.48,9023,2,2,1,5,Relatively New,582,0,0,1,0,0,0,159,"28.4750° N, 76.9715° E",28.475,76.9715
flat,paras quartier,gwal pahari,7.5,14019,4,4,3+,20,New Property,4842,0,1,0,1,1,1,49,"28.4484° N, 77.0210° E",28.4484,77.021
flat,experion the heartsong,sector 108,2,8554,3,3,3+,14,Relatively New,2116,0,1,0,0,0,0,95,"28.5134° N, 76.9830° E",28.5134,76.983
flat,adani m2k oyster grande,sector 102,1.9,9104,3,4,3,8,Relatively New,1710,0,1,0,0,0,0,165,"28.4750° N, 76.9715° E",28.475,76.9715
house,independent,sector 105,1.2,10118,3,2,1,2,Old Property,1185.51,0,0,0,0,0,0,9,"28.4952° N, 77.0114° E",28.4952,77.0114
house,dlf city phase 1,sector 26,4.5,33333,3,3,2,2,Moderately Old,1350,1,1,0,0,0,0,70,"28.4757° N, 77.1032° E",28.4757,77.1032
house,independent,sector 109,1.55,6568,3,2,0,1,Relatively New,2360,0,0,0,0,0,0,0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,dlf regency park,sector 28,1.6,14545,2,2,2,3,Relatively New,1222,0,0,0,0,0,0,52,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,ats tourmaline,sector 109,2.25,8704,3,4,3,14,Relatively New,2339,0,1,0,0,0,0,101,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,emaar mgf emerald floors premier,sector 65,2.77,14025,4,4,3+,3,Relatively New,2194,1,1,0,0,0,2,174,"28.4030° N, 77.0690° E",28.403,77.069
house,independent,sector 12,1.2,14184,2,4,2,2,Relatively New,846,0,0,0,1,0,1,7,"28.4723° N, 77.0320° E",28.4723,77.032
flat,bestech park view sanskruti,sector 92,1.55,7568,3,4,3,16,Relatively New,1805,0,1,0,0,0,1,60,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,ss the leaf,sector 85,1.09,6667,2,2,3,9,Relatively New,1638,0,0,1,0,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,ss the leaf,sector 85,1.77,7350,3,4,3+,7,New Property,2179,0,0,1,0,0,0,107,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,afnhb jalvayu vihar,sector 30,0.85,12859,2,2,1,2,Old Property,734,0,0,0,0,1,1,49,"28.4604° N, 77.0579° E",28.4604,77.0579
flat,m3m woodshire,sector 107,0.9,6589,2,2,3+,10,Relatively New,1236,0,0,0,0,1,1,49,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,godrej habitat,sector 3,1.2,8310,2,2,3,0,Under Construction,1307,0,0,0,0,0,0,60,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,ansal api celebrity suites,sector 2,0.6,8163,1,1,1,5,Moderately Old,665,0,0,0,0,0,1,88,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 41,9,27778,8,5,3+,3,Old Property,3240,0,1,1,1,0,1,26,"28.4557° N, 77.0632° E",28.4557,77.0632
house,independent,sector 41,7,28283,7,7,3+,3,Moderately Old,2475,1,1,1,1,0,2,151,"28.4557° N, 77.0632° E",28.4557,77.0632
flat,chanderlok society,sector 28,0.9,7235,4,2,3+,1,Old Property,1382,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
house,independent,sector 4,0.4,8889,1,1,0,1,Moderately Old,450,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
house,international city by sobha phase 2,sector 109,5.65,10463,4,4,3+,2,New Property,5400,0,1,0,0,1,1,44,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,emaar digihomes,sector 62,2.15,14257,2,2,3,31,Under Construction,1676,0,0,0,0,0,0,101,"28.4139° N, 77.0886° E",28.4139,77.0886
house,uppal southend,sector 49,4.4,15278,6,6,3,3,Moderately Old,2880,1,1,1,1,0,2,110,"28.4121° N, 77.0480° E",28.4121,77.048
flat,vipul lavanya,sector 81,0.64,5263,2,2,3,12,Relatively New,1361,0,0,0,0,0,1,93,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,m3m heights,sector 65,2.86,13999,3,3,3,45,Under Construction,2267,0,1,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
flat,emaar mgf the palm drive,sector 66,3.5,15909,3,3,3,7,Moderately Old,2125,0,1,1,0,0,1,149,"28.3925° N, 77.0541° E",28.3925,77.0541
house,greenopolis,sector 89,0.7,5397,2,2,2,14,New Property,1297,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,dlf the skycourt,sector 86,1.54,9222,3,3,3+,15,Relatively New,1780,0,1,0,0,0,0,174,"28.3986° N, 76.9384° E",28.3986,76.9384
house,vipul tatvam villa,sector 48,8.25,38194,4,4,3+,3,Relatively New,2160,0,1,1,0,0,1,160,"28.4177° N, 77.0359° E",28.4177,77.0359
house,international city by sobha phase 1,sector 109,6.1,25103,5,6,3+,2,Moderately Old,2430,0,1,0,0,0,0,30,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,the arzoo cghs,sector 51,2.1,9130,4,4,3,1,Relatively New,2300,0,0,0,0,0,0,58,"28.4320° N, 77.0686° E",28.432,77.0686
flat,corona optus,sector 37,1.25,7176,3,3,3,2,Relatively New,1563,1,0,0,0,0,0,49,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,lotus homz,sector 111,0.7,10057,2,2,2,8,Relatively New,773,0,0,0,0,0,0,68,"28.5238° N, 77.0320° E",28.5238,77.032
flat,m3m merlin,sector 67,2.8,13679,3,3,3,5,Moderately Old,2047,0,1,0,0,0,2,26,"28.3859° N, 77.0608° E",28.3859,77.0608
house,housing board colony,sector 28,5.5,30556,4,3,3,2,Old Property,1800,0,0,0,1,1,1,22,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,puri diplomatic greens,sector 111,2.58,11727,3,4,2,10,Moderately Old,2200,0,1,0,0,0,0,86,"28.5238° N, 77.0320° E",28.5238,77.032
flat,la vida by tata housing,sector 113,3,14286,3,3,3+,3,Relatively New,2460,0,1,0,0,0,0,167,"28.5287° N, 77.0233° E",28.5287,77.0233
house,ganpati heights apartment,sector 13,1.25,12077,3,6,2,3,Old Property,115,0,0,0,0,1,0,7,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,smart world orchard,sector 61,2.1,13752,3,2,3,3,Under Construction,1534,0,0,0,0,0,0,146,"28.4050° N, 77.0963° E",28.405,77.0963
flat,tata gurgaon gateway,sector 113,2.45,10788,3,3,3,8,Relatively New,2014,0,0,0,0,0,0,110,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,tulip violet,sector 69,1.38,8973,3,3,1,12,Relatively New,1709,0,0,0,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,smart world gems,sector 89,1.71,12000,3,2,0,3,New Property,1423,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,ireo the corridors,sector 67a,1.85,9531,3,4,3,4,New Property,1941,1,0,1,0,0,1,150,"28.3960° N, 77.0372° E",28.396,77.0372
flat,signature global the millennia,sector 37d,0.6,9231,2,2,3,7,New Property,625,0,0,0,0,0,0,35,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,vatika the seven lamps,sector 82,0.81,6193,2,2,2,15,Relatively New,1176,0,0,0,0,0,1,117,"28.3935° N, 76.9600° E",28.3935,76.96
flat,tulip monsella,sector 53,5.6,19364,3,3,3+,1,Under Construction,2617,0,0,0,0,0,0,42,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,m3m skywalk,sector 74,1.5,12500,2,2,3,17,Relatively New,1300,0,0,1,0,0,0,174,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,bptp terra,sector 37d,1.45,8007,3,3,3,9,Relatively New,1639,0,0,0,0,0,0,107,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,experion the heartsong,sector 108,1.65,8238,3,4,3,3,Moderately Old,1771.32,1,0,0,0,0,1,75,"28.5134° N, 76.9830° E",28.5134,76.983
flat,huda housing board society,sector 52,0.45,9740,1,1,0,0,Moderately Old,513,0,0,0,1,0,1,43,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,shri balaji apartment,sector 12,0.35,4037,2,2,1,1,Moderately Old,737,0,0,0,0,0,0,23,"28.4723° N, 77.0320° E",28.4723,77.032
house,independent,sector 43,5.75,23663,4,4,2,4,Under Construction,2430,0,1,1,0,0,2,153,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,ss the leaf,sector 85,1.12,6452,2,2,3,10,Relatively New,1485,0,0,0,0,1,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,avl 36 gurgaon,sector 36,0.75,7500,2,2,2,5,Relatively New,856,0,0,0,0,0,0,26,"28.4160° N, 76.9914° E",28.416,76.9914
flat,adani aangan galleria,sector 89,0.25,5000,1,1,1,6,New Property,430,0,0,0,0,0,0,74,"28.4253° N, 76.9439° E",28.4253,76.9439
house,independent,sector 4,0.67,8557,3,2,1,1,Moderately Old,783,0,0,0,1,1,0,19,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,bestech park view residency,sector 2,0.56,8629,1,1,2,6,Moderately Old,723,0,0,0,0,0,0,77,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 14,4.15,18444,5,4,2,2,Old Property,2250,0,0,0,0,0,1,51,"28.4711° N, 77.0454° E",28.4711,77.0454
